Team,Win-Loss Record,Win %,MOV,ATS +/-
DePaul,159-176-0,47.5%,-0.1,-0.5
E Illinois,159-177-0,47.3%,-1.3,+0.1
Mt St Marys,160-179-0,47.2%,-0.1,+0.2
Cal St Nrdge,168-188-0,47.2%,-0.3,+0.2
Incar Word,58-65-0,47.2%,-1.2,-1.9
Central Mich,164-184-0,47.1%,-1.1,0.0
Tulane,166-187-0,47.0%,-0.2,-0.5
UTSA,177-201-0,46.8%,-0.6,-0.6
Wm & Mary,165-189-0,46.6%,-1.4,-0.3
St Peters,159-183-0,46.5%,-1.0,+1.1
NC A&T,142-165-0,46.3%,-1.0,-0.3
Maine,140-163-0,46.2%,-2.0,-3.4
S Utah,156-182-0,46.2%,-0.9,-1.0
UCSD,23-27-0,46.0%,0.9,-0.6
Mass Lowell,72-85-0,45.9%,0.0,-0.7
La Salle,169-200-0,45.8%,-1.5,+0.3
New Orleans,153-182-0,45.7%,-2.2,-0.9
Columbia,136-162-0,45.6%,-0.6,-1.0
UC Davis,120-143-0,45.6%,-1.7,-0.3
W Illinois,135-161-0,45.6%,-1.5,-0.5
Youngs St,160-192-0,45.5%,-0.4,-0.8
Elon,149-179-0,45.4%,-1.3,-0.3
UL Monroe,149-180-0,45.3%,-1.7,-0.1
TN State,150-183-0,45.1%,-1.4,-0.1
Canisius,159-194-0,45.0%,-1.2,-0.1
Neb Omaha,72-88-0,45.0%,-2.4,-0.2
North Dakota,94-115-0,45.0%,-1.7,+1.0
SE Missouri,150-184-0,44.9%,-0.8,+0.4
Kansas City,153-188-0,44.9%,-1.1,+0.4
St Fran (PA),131-162-0,44.7%,-2.0,-1.8
NJIT,91-113-0,44.6%,-1.2,-1.3
TX-Pan Am,131-164-0,44.4%,-0.9,-0.1
SC Upstate,91-115-0,44.2%,-1.3,+0.6
W Carolina,159-204-0,43.8%,-2.3,-0.7
Alab A&M,123-158-0,43.8%,-1.5,+0.6
Brown,137-176-0,43.8%,-1.7,+0.8
Florida A&M,124-163-0,43.2%,-3.7,+0.2
Portland,140-185-0,43.1%,-2.5,-1.6
Rice,150-200-0,42.9%,-1.5,-1.3
Florida Intl,141-188-0,42.9%,-2.1,-0.6
Loyola-MD,134-180-0,42.7%,-2.8,-0.3
Army,131-178-0,42.4%,-2.7,-1.3
Citadel,123-168-0,42.3%,-1.7,0.0
E Michigan,147-203-0,42.0%,-2.7,-1.9
E Carolina,142-197-0,41.9%,-0.9,-0.5
Ark Pine Bl,97-136-0,41.6%,-3.9,-0.9
Campbell,139-195-0,41.6%,-2.0,-0.8
Stetson,133-187-0,41.6%,-3.2,-0.1
Kennesaw St,76-108-0,41.3%,-2.9,+0.1
Charl South,129-185-0,41.1%,-0.2,-0.1
VMI,127-183-0,41.0%,-2.2,-1.0
Cal Poly,119-172-0,40.9%,-2.1,-0.3
Beth-Cook,133-193-0,40.8%,-3.0,0.0
Binghamton,101-147-0,40.7%,-3.8,-1.0
Queens,13-19-0,40.6%,1.7,-0.5
Fordham,114-167-0,40.6%,-3.3,-0.7
Sacred Hrt,117-174-0,40.2%,-2.2,-2.0
LIU,20-30-0,40.0%,-2.0,-0.3
Le Moyne,6-9-0,40.0%,0.3,+1.5
Idaho,130-196-0,39.9%,-2.5,-0.2
N Illinois,117-180-0,39.4%,-2.6,0.0
Utah Tech,18-28-0,39.1%,0.3,-1.2
UC Riverside,102-162-0,38.6%,-2.6,-0.7
TX A&M-Com,10-16-0,38.5%,-1.8,-2.8
Sac State,105-170-0,38.2%,-3.3,-0.3
Loyola Mymt,120-196-0,38.0%,-3.9,-1.1
S Indiana,9-15-0,37.5%,-2.3,-2.0
San Jose St,93-155-0,37.5%,-3.5,-0.1
Howard,95-160-0,37.3%,-3.7,-0.9
Hsn Christian,56-96-0,36.8%,-5.7,-2.7
Dartmouth,80-139-0,36.5%,-2.7,+0.1
SIU Edward,53-94-0,36.1%,-4.4,-1.0
N Hampshire,106-195-0,35.2%,-4.9,-1.6
Idaho St,94-180-0,34.3%,-4.3,-1.0
Central Ark,57-110-0,34.1%,-5.2,-2.5
Maryland ES,76-149-0,33.8%,-6.4,-1.6
Stonehill,6-13-0,31.6%,-10.7,-4.5
Presbyterian,52-113-0,31.5%,-4.3,-2.5
Chicago St,62-135-0,31.5%,-7.0,0.0
Lindenwood,5-15-0,25.0%,-10.3,+0.2
