Team,Win-Loss Record,Win %,MOV,ATS +/-
Columbia,15-19-0,44.1%,-2.7,-2.6
Miami (OH),30-38-0,44.1%,-1.9,-0.3
Cleveland St,26-33-0,44.1%,-3.5,-0.5
Air Force,33-42-0,44.0%,-0.7,+1.0
Nebraska,40-51-0,44.0%,-1.7,+0.4
S Methodist,36-46-0,43.9%,0.2,-2.8
S Illinois,46-59-0,43.8%,-0.8,-0.8
IU Indy,35-45-0,43.8%,-2.4,-0.8
SIU Edward,14-18-0,43.8%,-1.2,+0.9
W Michigan,38-49-0,43.7%,-1.9,-1.0
Morgan St,41-53-0,43.6%,-2.4,-2.1
Duquesne,41-53-0,43.6%,-2.0,-0.2
S Florida,40-52-0,43.5%,-0.8,+0.9
Navy,13-17-0,43.3%,-1.7,+1.0
Coastal Car,19-25-0,43.2%,-2.0,-0.5
San Diego,41-54-0,43.2%,-1.8,-1.4
UTSA,27-36-0,42.9%,-2.7,+0.7
Ball St,27-36-0,42.9%,-2.3,+0.1
IPFW,18-24-0,42.9%,-1.4,+1.2
Lipscomb,15-20-0,42.9%,-0.5,-2.1
Santa Clara,38-51-0,42.7%,-0.6,+1.5
W Carolina,35-47-0,42.7%,-3.6,-1.9
S Car State,35-47-0,42.7%,-2.8,+1.2
Utah Valley,17-23-0,42.5%,0.6,0.0
New Orleans,28-38-0,42.4%,-2.2,-1.6
Sacred Hrt,11-15-0,42.3%,-3.2,+2.7
Youngs St,19-26-0,42.2%,-2.2,-0.3
Beth-Cook,27-37-0,42.2%,-3.5,+0.1
Wake Forest,43-59-0,42.2%,-3.4,-3.3
Manhattan,32-44-0,42.1%,-0.2,+2.6
Central Mich,24-33-0,42.1%,-3.5,-1.4
Wash State,45-62-0,42.1%,-0.2,-0.1
Maine,21-29-0,42.0%,-0.6,+0.1
N Kentucky,13-18-0,41.9%,-2.0,-0.6
N Arizona,30-42-0,41.7%,-2.3,-0.5
Oregon St,37-52-0,41.6%,-2.6,-0.3
Wyoming,37-52-0,41.6%,-2.0,-0.1
Cal Poly,24-34-0,41.4%,-1.6,+1.6
Bradley,44-63-0,41.1%,-2.8,-1.0
CS Fullerton,30-43-0,41.1%,-2.5,-1.8
Loyola Mymt,32-47-0,40.5%,-4.7,-1.5
Georgia,42-62-0,40.4%,-2.5,+0.1
La Salle,46-68-0,40.4%,-2.3,+1.1
Florida Intl,23-34-0,40.4%,-2.4,-0.5
Lindenwood,2-3-0,40.0%,-2.0,+4.3
Coppin St,32-48-0,40.0%,-4.4,-2.0
TX A&M-Com,2-3-0,40.0%,-4.0,-2.0
Ark Pine Bl,19-29-0,39.6%,-6.3,-1.8
Mercer,30-46-0,39.5%,-3.0,-2.0
Drexel,35-54-0,39.3%,-2.0,-1.5
SE Louisiana,22-34-0,39.3%,-1.6,+0.3
Army,11-17-0,39.3%,0.4,-1.0
Towson,33-51-0,39.3%,-3.6,-1.6
Arizona St,42-65-0,39.3%,-3.0,-1.2
Campbell,18-28-0,39.1%,-4.4,-1.4
Lafayette,9-14-0,39.1%,-5.1,-4.3
E Illinois,16-25-0,39.0%,-2.1,-3.9
Citadel,23-36-0,39.0%,-1.4,-0.1
Wm & Mary,21-33-0,38.9%,-2.5,-2.2
Sac State,14-22-0,38.9%,-2.5,+0.5
TN Martin,14-22-0,38.9%,-0.7,-2.3
Mt St Marys,12-19-0,38.7%,-6.1,-4.1
UC Riverside,17-27-0,38.6%,-4.0,+0.3
Florida A&M,25-40-0,38.5%,-4.9,+2.4
Central Ark,10-16-0,38.5%,-2.7,+2.4
Fresno St,28-45-0,38.4%,-2.4,-1.4
Elon,28-45-0,38.4%,-2.8,-0.3
Providence,41-66-0,38.3%,-3.3,-1.6
Rutgers,29-47-0,38.2%,-4.1,-2.2
SC Upstate,11-18-0,37.9%,-4.0,-1.1
Tulane,36-59-0,37.9%,-5.2,-1.9
Holy Cross,20-33-0,37.7%,-4.1,-0.4
McNeese St,15-25-0,37.5%,-3.1,-1.4
Bellarmine,3-5-0,37.5%,-4.6,+1.2
N Alabama,3-5-0,37.5%,-3.6,+3.2
NC A&T,29-49-0,37.2%,-3.7,-0.2
Marshall,26-44-0,37.1%,-2.2,-0.2
TX-Pan Am,23-39-0,37.1%,-2.3,+0.6
Delaware St,24-41-0,36.9%,-3.0,-0.6
Grambling St,21-36-0,36.8%,-6.1,+1.8
Howard,30-52-0,36.6%,-5.3,-0.5
Charl South,15-26-0,36.6%,-4.4,-2.0
Rice,30-52-0,36.6%,-2.3,+0.4
Nicholls,19-33-0,36.5%,-5.4,-1.7
E Michigan,19-33-0,36.5%,-2.8,-2.2
Marist,25-44-0,36.2%,-5.0,-0.5
Prairie View,21-37-0,36.2%,-3.7,+1.7
W Illinois,17-30-0,36.2%,-5.5,-1.5
Quinnipiac,18-32-0,36.0%,-3.5,+0.3
Kennesaw St,11-20-0,35.5%,-4.9,+0.6
Longwood,18-33-0,35.3%,-4.4,+3.3
Idaho St,19-35-0,35.2%,-4.1,-2.5
California,33-62-0,34.7%,-4.0,-2.3
U Penn,17-32-0,34.7%,-2.5,-0.6
Idaho,19-36-0,34.6%,-3.4,-1.1
Fordham,23-44-0,34.3%,-4.7,+0.2
Central Conn,13-25-0,34.2%,-5.9,-3.3
VMI,18-35-0,34.0%,-3.8,-2.2
Southern,21-41-0,33.9%,-4.5,-4.0
Dartmouth,7-14-0,33.3%,-6.2,-4.1
Incar Word,4-8-0,33.3%,-7.6,+2.0
Merrimack,2-4-0,33.3%,-2.0,-1.0
Portland,28-56-0,33.3%,-4.9,+0.8
Colgate,13-26-0,33.3%,-4.1,-3.9
LIU,2-4-0,33.3%,-4.5,+6.7
Alab A&M,15-31-0,32.6%,-5.1,-1.7
N Illinois,14-29-0,32.6%,-4.0,-3.0
Brown,10-21-0,32.3%,-2.0,-2.5
Chicago St,19-40-0,32.2%,-5.2,+0.3
Stetson,14-30-0,31.8%,-4.7,+0.5
Evansville,21-46-0,31.3%,-4.0,-2.1
Kansas City,20-44-0,31.3%,-5.0,-0.9
Miss Val St,20-44-0,31.3%,-7.4,0.0
N Hampshire,9-20-0,31.0%,-5.3,-2.8
UL Monroe,14-33-0,29.8%,-5.6,+0.9
San Jose St,19-48-0,28.4%,-5.9,-1.0
DePaul,22-56-0,28.2%,-5.7,-1.2
Hsn Christian,10-26-0,27.8%,-7.9,-3.6
F Dickinson,9-24-0,27.3%,-6.7,+0.2
Alcorn St,15-44-0,25.4%,-6.8,-1.4
NJIT,4-12-0,25.0%,-6.9,-10.5
Cal Baptist,3-9-0,25.0%,-7.1,-5.8
S Indiana,1-3-0,25.0%,-10.0,-10.5
Presbyterian,7-24-0,22.6%,-8.2,-2.9
Maryland ES,12-42-0,22.2%,-8.7,-2.2
St Fran (PA),1-4-0,20.0%,-12.2,-3.0
UCSD,0-8-0,0.0%,-17.8,-10.5
Mercyhurst,0-1-0,0.0%,-22.0,--
