Team,Win-Loss Record,Win %,MOV,ATS +/-
Loyola-MD,82-270-0,23.3%,-8.8,+0.1
Cal St Nrdge,100-331-0,23.2%,-8.0,0.0
Rob Morris,38-126-0,23.2%,-8.6,0.0
Idaho,111-369-0,23.1%,-8.3,+0.8
Oregon St,113-376-0,23.1%,-8.5,+0.2
S Mississippi,95-316-0,23.1%,-8.9,-0.7
Wash State,106-353-0,23.1%,-8.6,-0.3
Beth-Cook,30-100-0,23.1%,-11.0,-0.8
Texas Tech,87-290-0,23.1%,-8.9,-1.3
Albany,35-117-0,23.0%,-7.4,+1.0
E Illinois,102-343-0,22.9%,-9.2,-0.4
W Carolina,95-320-0,22.9%,-9.9,-0.4
Colorado St,84-285-0,22.8%,-7.4,-0.5
N Arizona,95-323-0,22.7%,-9.7,-0.6
Le Moyne,5-17-0,22.7%,-8.5,+2.0
E Carolina,106-361-0,22.7%,-8.9,-0.3
SIU Edward,61-208-0,22.7%,-9.4,+0.1
W Illinois,58-198-0,22.7%,-9.3,-0.5
Bryant,26-89-0,22.6%,-10.8,-1.1
UL Monroe,84-288-0,22.6%,-9.4,-0.2
High Point,30-103-0,22.6%,-8.7,-0.8
Marshall,81-279-0,22.5%,-8.6,-1.2
UC Riverside,100-345-0,22.5%,-8.4,+0.2
E Michigan,108-373-0,22.5%,-9.5,-1.2
Jksnville St,71-246-0,22.4%,-7.1,+1.3
TN Tech,86-302-0,22.2%,-9.4,-0.6
S Florida,105-370-0,22.1%,-8.2,+0.1
TX Christian,92-326-0,22.0%,-8.8,-0.7
Evansville,105-373-0,22.0%,-9.2,-1.2
Pepperdine,96-342-0,21.9%,-9.4,0.0
Florida Intl,101-360-0,21.9%,-8.8,-0.1
Loyola Mymt,108-388-0,21.8%,-10.0,-0.2
N Illinois,108-389-0,21.7%,-8.6,+0.1
Georgia St,51-184-0,21.7%,-7.7,+0.2
Lamar,35-128-0,21.5%,-9.8,+0.2
St Fran (PA),29-107-0,21.3%,-10.0,-0.9
IU Indy,66-244-0,21.3%,-10.9,-0.9
Howard,32-119-0,21.2%,-12.0,-1.2
Lindenwood,11-41-0,21.2%,-11.5,-0.9
Air Force,93-347-0,21.1%,-9.4,-0.1
Sac State,95-357-0,21.0%,-9.8,-0.5
Duquesne,92-347-0,21.0%,-8.9,-0.2
CS Bakersfld,31-117-0,21.0%,-7.4,+0.8
Furman,66-249-0,21.0%,-8.9,-0.3
Idaho St,98-370-0,20.9%,-9.3,-0.3
S Utah,58-219-0,20.9%,-9.9,-0.5
Cal Poly,102-388-0,20.8%,-8.7,-0.1
Rice,100-384-0,20.7%,-9.4,-0.5
TN Martin,89-343-0,20.6%,-11.0,-1.1
DePaul,105-405-0,20.6%,-9.6,-0.5
Central Ark,35-135-0,20.6%,-13.5,-1.2
Colgate,15-58-0,20.6%,-8.1,+1.9
Denver,83-323-0,20.4%,-8.3,-0.6
Youngs St,85-332-0,20.4%,-9.1,-0.3
Jackson St,28-112-0,20.0%,-11.6,+0.6
Citadel,97-388-0,20.0%,-11.3,-0.4
Dartmouth,81-324-0,20.0%,-9.9,-0.2
Detroit,84-336-0,20.0%,-8.5,-0.8
Morgan St,29-116-0,20.0%,-11.2,-1.7
Fordham,104-417-0,20.0%,-10.5,-0.6
TN State,79-317-0,20.0%,-9.9,-0.1
Central Conn,34-137-0,19.9%,-10.9,+0.1
Alab A&M,34-138-0,19.8%,-11.7,-0.6
Tulane,91-370-0,19.7%,-9.5,-0.8
New Orleans,60-245-0,19.7%,-10.3,-0.8
Southern,23-94-0,19.7%,-12.8,+0.4
Incar Word,29-121-0,19.3%,-11.0,-0.4
S Methodist,56-234-0,19.3%,-8.1,-0.7
Liberty,16-67-0,19.3%,-10.0,-1.2
Oral Roberts,39-164-0,19.2%,-8.3,-0.1
Portland,92-394-0,18.9%,-10.8,-0.9
SE Missouri,85-364-0,18.9%,-9.3,-0.2
NW State,30-131-0,18.6%,-12.5,-0.2
Prairie View,23-104-0,18.1%,-11.6,+1.0
Coppin St,37-168-0,18.1%,-13.4,-0.4
TX-Pan Am,34-155-0,18.0%,-11.3,-0.5
Nicholls,19-88-0,17.8%,-13.0,-0.4
VMI,52-241-0,17.8%,-11.6,-1.0
TX Southern,21-98-0,17.7%,-12.5,+1.5
McNeese St,21-99-0,17.5%,-10.7,0.0
San Jose St,103-487-0,17.5%,-11.1,-0.7
Columbia,58-279-0,17.2%,-9.5,-0.2
NC Central,18-88-0,17.0%,-10.8,+0.7
Presbyterian,29-144-0,16.8%,-10.1,-0.3
S Car State,30-150-0,16.7%,-12.6,+1.0
Maine,28-149-0,15.8%,-11.2,0.0
Charl South,25-135-0,15.6%,-11.2,-1.1
Alcorn St,24-133-0,15.3%,-17.0,-1.9
Maryland ES,25-140-0,15.2%,-14.8,-1.0
LIU,13-76-0,14.6%,-12.3,-0.9
Stonehill,7-41-0,14.6%,-12.7,-1.8
Alabama St,22-137-0,13.8%,-13.3,-0.9
Kennesaw St,23-150-0,13.3%,-13.2,-1.0
Delaware St,25-164-0,13.2%,-14.1,-0.8
Hsn Christian,22-145-0,13.2%,-13.8,-1.1
Ark Pine Bl,24-163-0,12.8%,-15.9,-1.4
Chicago St,26-185-0,12.3%,-18.0,-1.4
Miss Val St,22-213-0,9.4%,-19.5,-1.2
W Georgia,0-2-0,0.0%,-29.0,-4.3
