Team,Win-Loss Record,Win %,MOV,ATS +/-
LIU,29-55-0,34.5%,-5.6,-0.8
Binghamton,141-270-0,34.3%,-4.8,+1.2
Maine,156-299-0,34.3%,-3.7,+0.6
TN Martin,159-305-0,34.3%,-5.1,-0.9
Incar Word,64-123-0,34.2%,-4.5,-0.4
Marist,157-303-0,34.1%,-4.8,-0.1
St Fran (PA),158-307-0,34.0%,-4.8,-0.2
Sac State,163-317-0,34.0%,-5.5,-0.8
Cal Poly,161-315-0,33.8%,-4.5,-0.9
Bryant,92-183-1,33.5%,-6.4,-2.8
DePaul,157-316-0,33.2%,-5.6,-0.7
Presbyterian,113-232-0,32.8%,-4.6,+0.3
Fordham,158-325-0,32.7%,-6.4,-0.5
W Illinois,150-309-0,32.7%,-4.4,-1.4
SIU Edward,92-191-0,32.5%,-5.8,-0.2
Florida A&M,160-338-0,32.1%,-7.8,+1.5
NC A&T,158-335-0,32.1%,-7.0,+0.2
TX-Pan Am,156-331-0,32.0%,-6.2,-0.4
Prairie View,153-325-1,32.0%,-7.9,-0.2
Longwood,120-262-0,31.4%,-6.9,+0.8
Citadel,155-341-0,31.3%,-5.5,-1.1
Alcorn St,144-327-0,30.6%,-8.7,-1.3
Central Ark,109-249-0,30.5%,-6.5,-0.5
Hsn Christian,96-220-0,30.4%,-5.4,-0.2
Coppin St,151-348-0,30.3%,-8.7,-0.4
Dartmouth,138-332-0,29.4%,-5.7,-0.7
Howard,153-373-0,29.1%,-7.6,-1.3
Grambling St,139-340-0,29.0%,-9.7,-0.3
Stonehill,12-30-0,28.6%,-5.3,+0.4
Delaware St,138-346-0,28.5%,-7.9,-1.1
Maryland ES,148-382-0,27.9%,-9.4,-0.3
Kennesaw St,103-276-0,27.2%,-7.7,-0.9
San Jose St,140-396-0,26.1%,-8.1,-1.3
Ark Pine Bl,137-410-0,25.1%,-11.6,-0.8
Miss Val St,127-403-0,24.0%,-11.9,-0.5
Chicago St,128-446-0,22.3%,-12.0,-1.8
W Georgia,0-1-0,0.0%,-23.0,+0.5
