Team,Win-Loss Record,Win %,MOV,ATS +/-
Maryland BC,194-231-0,45.7%,-2.0,+1.4
TN Tech,217-259-0,45.6%,-2.2,-0.2
Cleveland St,204-244-0,45.5%,-2.1,-0.7
UTSA,218-264-0,45.2%,-2.0,+0.8
Portland St,195-237-0,45.1%,-1.7,-0.3
San Diego,217-266-0,44.9%,-2.0,+0.1
Morgan St,194-238-1,44.9%,-2.7,-1.7
Neb Omaha,79-97-0,44.9%,-3.1,+0.7
Alcorn St,209-259-0,44.7%,-3.8,-0.5
Canisius,181-226-0,44.5%,-1.5,-0.1
Cornell,189-236-0,44.5%,-1.5,+0.6
UCSD,24-30-0,44.4%,-2.0,-0.4
Lafayette,199-251-0,44.2%,-2.4,0.0
James Mad,217-274-0,44.2%,-1.9,-0.5
North Dakota,114-144-0,44.2%,-2.7,+0.3
Nicholls,193-245-0,44.1%,-3.8,-0.6
Miami (OH),201-257-0,43.9%,-1.4,-0.3
CS Fullerton,207-266-0,43.8%,-2.3,0.0
Arkansas St,190-245-0,43.7%,-1.4,-0.3
IL-Chicago,195-252-0,43.6%,-2.0,+0.1
South Dakota,99-128-0,43.6%,-2.5,-0.3
SE Louisiana,194-252-0,43.5%,-3.3,-0.4
S Florida,142-185-0,43.4%,-1.7,-0.5
UC Davis,137-179-0,43.4%,-2.6,-0.3
Manhattan,147-193-0,43.2%,-1.3,-0.3
St Peters,152-200-0,43.2%,-1.7,+1.0
Wm & Mary,214-284-0,43.0%,-2.4,+0.2
New Orleans,168-223-0,43.0%,-2.2,-1.3
Pepperdine,219-293-0,42.8%,-2.7,-0.7
Beth-Cook,184-247-0,42.7%,-2.8,-0.6
Jksnville St,189-255-0,42.6%,-1.8,+0.5
N Florida,138-187-0,42.5%,-3.6,+1.1
Mass Lowell,73-99-0,42.4%,-1.7,+0.5
Denver,155-213-0,42.1%,-1.4,-0.4
Central Conn,205-284-0,41.9%,-2.8,-1.2
F Dickinson,197-273-1,41.9%,-3.1,+1.5
